FormulaName	TargetTable	TargetColumn	Stage	Template
HSE_TO_AGR_Bypass_EOR_Benzene	CalcResult_FlaringThermaloxidizer	Benzene	AGR	HSE_TO_AGR_{mode}_{type}_Benzene
HSE_TO_AGR_Bypass_EOR_Benzene_mass	CalcResult_FlaringThermaloxidizer	Benzene_mass	AGR	HSE_TO_AGR_{mode}_{type}_Benzene_mass
HSE_TO_AGR_Bypass_EOR_C10_1	CalcResult_FlaringThermaloxidizer	C10_1	AGR	HSE_TO_AGR_{mode}_{type}_C10_1
HSE_TO_AGR_Bypass_EOR_C10_1_mass	CalcResult_FlaringThermaloxidizer	C10_1_mass	AGR	HSE_TO_AGR_{mode}_{type}_C10_1_mass
HSE_TO_AGR_Bypass_EOR_C11_1	CalcResult_FlaringThermaloxidizer	C11_1	AGR	HSE_TO_AGR_{mode}_{type}_C11_1
HSE_TO_AGR_Bypass_EOR_C11_1_mass	CalcResult_FlaringThermaloxidizer	C11_1_mass	AGR	HSE_TO_AGR_{mode}_{type}_C11_1_mass
HSE_TO_AGR_Bypass_EOR_C12_1	CalcResult_FlaringThermaloxidizer	C12_1	AGR	HSE_TO_AGR_{mode}_{type}_C12_1
HSE_TO_AGR_Bypass_EOR_C12_1_mass	CalcResult_FlaringThermaloxidizer	C12_1_mass	AGR	HSE_TO_AGR_{mode}_{type}_C12_1_mass
HSE_TO_AGR_Bypass_EOR_C13_1	CalcResult_FlaringThermaloxidizer	C13_1	AGR	HSE_TO_AGR_{mode}_{type}_C13_1
HSE_TO_AGR_Bypass_EOR_C13_1_mass	CalcResult_FlaringThermaloxidizer	C13_1_mass	AGR	HSE_TO_AGR_{mode}_{type}_C13_1_mass
HSE_TO_AGR_Bypass_EOR_C14_1	CalcResult_FlaringThermaloxidizer	C14_1	AGR	HSE_TO_AGR_{mode}_{type}_C14_1
HSE_TO_AGR_Bypass_EOR_C14_1_mass	CalcResult_FlaringThermaloxidizer	C14_1_mass	AGR	HSE_TO_AGR_{mode}_{type}_C14_1_mass
HSE_TO_AGR_Bypass_EOR_C2H6S	CalcResult_FlaringThermaloxidizer	C2H6S	AGR	HSE_TO_AGR_{mode}_{type}_C2H6S
HSE_TO_AGR_Bypass_EOR_C2H6S2	CalcResult_FlaringThermaloxidizer	C2H6S2	AGR	HSE_TO_AGR_{mode}_{type}_C2H6S2
HSE_TO_AGR_Bypass_EOR_C2H6S2_mass	CalcResult_FlaringThermaloxidizer	C2H6S2_mass	AGR	HSE_TO_AGR_{mode}_{type}_C2H6S2_mass
HSE_TO_AGR_Bypass_EOR_C2H6S_mass	CalcResult_FlaringThermaloxidizer	C2H6S_mass	AGR	HSE_TO_AGR_{mode}_{type}_C2H6S_mass
HSE_TO_AGR_Bypass_EOR_C2H7NO	CalcResult_FlaringThermaloxidizer	C2H7NO	AGR	HSE_TO_AGR_{mode}_{type}_C2H7NO
